station,status,registry,registry_type,run_files,py_count,config_files,readme,syntax_failures,stale_refs
7q-classifier.station,WRAPPER_PRESENT,yes,local,RUN.bat,4,,yes,,
7q-engine.station,REVIEW_STALE_REFS,yes,local,RUN.bat,10,,yes,,README.REMOTE_PLACEHOLDER_20260601.md -> \\dlowenas\brain\Backside\apps
ai-portal-generator.station,WRAPPER_PRESENT,yes,local,RUN.bat; RUN_BUILD_AI_PORTAL.bat; TROUBLESHOOT_AI_PORTAL.bat,1,config.json,yes,,
ai-research-agents.station,REVIEW_STALE_REFS,yes,local,RUN.bat,4,,yes,,README.REMOTE_PLACEHOLDER_20260601.md -> \\dlowenas\brain\Backside\apps
apologetic-pipeline.station,WRAPPER_PRESENT,yes,local,RUN.bat,1,,no,,
axioms.station,REVIEW_STALE_REFS,yes,local,QUEUE_IMPORTED_PAPERS_TO_INBOX.bat; RUN.bat; RUN_AXIOMS_WORKFLOW.bat; RUN_AXIOM_RIGOR_GATE.bat; RUN_FULL_PAPER_INTELLIGENCE.bat; TROUBLESHOOT_AXIOMS_WORKFLOW.bat; UPDATE_AXIOMS_REFERENCE_HTML.bat,11,,yes,,RUN_FULL_PAPER_INTELLIGENCE.bat -> X:\Backside\workflows
brain-map.station,REVIEW_STALE_REFS,yes,local,,58,,no,,theophysics-brain-map-main\ARCHITECTURE.md -> D:\brain | theophysics-brain-map-main\BRAIN_README.md -> X:\Backside\workflows | theophysics-brain-map-main\FOLDER_CONVENTIONS.md -> D:\brain | theophysics-brain-map-main\README.md -> X:\brain | theophysics-brain-map-main\ROOT_REORG_TARGET_2026-05-20.md -> X:\Backside\workflows | theophysics-brain-map-main\00_WORKFLOWS\D_DRIVE_PROGRAMS_AND_WORK_AREAS_MAP.md -> D:\brain | theophysics-brain-map-main\00_WORKFLOWS\WORKFLOWS_ROOT_MIGRATION_STATUS.md -> X:\brain | theophysics-brain-map-main\00_WORKFLOWS\prompts\x-drive-reorg\4b_root_simplification.md -> X:\brain
claim-extractor.station,REVIEW_STALE_REFS,yes,local,EXTRACT.bat; RUN.bat,3,config.json,no,,COWORK_PROMPT.md -> D:\brain
classify-documents.station,WRAPPER_PRESENT,yes,local,RUN.bat,1,config.json,no,,
deberta-runner.station,WRAPPER_PRESENT,yes,local,INSTALL.bat; RUN.bat; TEST.bat,1,config.json,no,,
file-intelligence.station,REVIEW_STALE_REFS,yes,local,INSTALL.bat; RUN.bat,34,,yes,,README.REMOTE_PLACEHOLDER_20260601.md -> \\dlowenas\brain\Backside\apps
