source_file,source_name,tokens,sentences,truth,coherence,fruit,anti_fruit,grounding,contradiction,propaganda,snr,assertion_ratio,contradiction_pressure,coherence_density,cronkite_delta,sigma_state,archetype,role,kill_conditions,christ_vector_alignment,christ_vector_label,dominant_fruit,weakest_fruit,semantic_backend,semantic_ontology,semantic_fruit_alignment,semantic_anti_alignment,semantic_net_alignment,semantic_dominant_anchor,semantic_dominant_anti_anchor,excel_path
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-01-measurement-collapsed-reality.html,gtq-01-measurement-collapsed-reality.html,7084,762,0.2296,0.4907,0.0219,0.0044,0.0936,0.0295,0.28,17.879,2.4531,0.1286,6.9e-05,-0.1864,0.5548,Instructional / Explanatory,Informational,None flagged,0.9907,0.991 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.109,0.1071,0.0019,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-02-the-first-quantum-state.html,gtq-02-the-first-quantum-state.html,8636,847,0.2321,0.4972,0.0146,0.0035,0.0996,0.0283,0.2776,19.1761,2.3315,0.1221,5.8e-05,-0.178,0.5684,Instructional / Explanatory,Informational,None flagged,0.995,0.995 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1045,0.1045,0.0,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-03-free-will-two-frames.html,gtq-03-free-will-two-frames.html,10687,1069,0.2352,0.4925,0.0583,0.0084,0.0798,0.0407,0.2884,12.8409,2.9465,0.173,4.6e-05,-0.2086,0.5316,Instructional / Explanatory,Informational,None flagged,0.9952,0.995 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1514,0.1345,0.017,goodness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-03a-macarthur-and-the-equation.html,gtq-03a-macarthur-and-the-equation.html,1697,186,0.2473,0.4909,0.0789,0.0072,0.095,0.0242,0.2799,21.1936,2.6034,0.0978,0.000289,-0.1849,0.5616,Instructional / Explanatory,Informational,None flagged,0.9942,0.994 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1448,0.1181,0.0267,peace,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-03b-the-three-pathways.html,gtq-03b-the-three-pathways.html,2687,274,0.2253,0.4951,0.0231,0.0061,0.0718,0.0274,0.287,17.6337,3.1394,0.1215,0.000184,-0.2152,0.5395,Instructional / Explanatory,Informational,None flagged,0.9979,0.998 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.151,0.1368,0.0142,patience,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-03c-why-god-drowned-everybody.html,gtq-03c-why-god-drowned-everybody.html,2571,253,0.2179,0.4942,0.0171,0.0119,0.0606,0.0375,0.2953,11.5766,3.5951,0.1723,0.000192,-0.2347,0.5173,Instructional / Explanatory,Informational,None flagged,0.9986,0.999 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1176,0.1134,0.0042,goodness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-04-the-day-time-began.html,gtq-04-the-day-time-began.html,18009,2042,0.2194,0.4836,0.0297,0.0083,0.0633,0.0306,0.2913,14.8099,3.4642,0.1395,2.7e-05,-0.228,0.5163,Instructional / Explanatory,Informational,None flagged,0.9987,0.999 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.0989,0.0927,0.0062,faithfulness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-04a-the-decoherence-curve.html,gtq-04a-the-decoherence-curve.html,2972,369,0.2275,0.4809,0.0262,0.0018,0.0921,0.0244,0.2781,22.8753,2.4692,0.1072,0.000162,-0.186,0.5487,Instructional / Explanatory,Informational,None flagged,0.998,0.998 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.0873,0.0758,0.0115,faithfulness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-04b-how-lies-kill.html,gtq-04b-how-lies-kill.html,3200,358,0.2269,0.4856,0.0438,0.0223,0.0773,0.0279,0.2936,12.0653,2.9361,0.1231,0.000152,-0.2163,0.535,Instructional / Explanatory,Informational,None flagged,0.9971,0.997 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1128,0.1147,-0.0018,goodness,fragmentation,
C:\Users\lowes\OneDrive\Desktop\genesis-to-quantum\gtq-05-the-substrate-fractured.html,gtq-05-the-substrate-fractured.html,17798,1660,0.2241,0.5004,0.0151,0.0068,0.0715,0.034,0.2888,14.3631,3.1352,0.1519,2.8e-05,-0.2173,0.5378,Instructional / Explanatory,Informational,None flagged,0.9972,0.997 (HIGH ALIGNMENT),love,patience,sentence-transformers,explicit coherence ontology,0.1047,0.0964,0.0083,peace,fragmentation,
